Refseq_ID,Exosome,Nucleus,Nucleoplasm,Chromatin,Cytoplasm,Nucleolus,Cytosol,Membrane,Ribosome
XM_024450282.1,1,0,0,1,0,0,1,0,1
NM_000863.3,1,0,0,0,0,0,1,0,0
XM_005254425.4,1,1,0,0,1,0,0,0,0
XM_024447753.1,1,1,1,0,0,0,1,0,0
XM_017020445.1,1,1,0,0,1,0,1,1,0
XM_017029696.2,1,0,0,1,0,0,1,1,0
XM_011520280.2,1,0,0,0,0,0,0,0,0
NM_021961.6,1,1,1,1,0,1,1,0,0
NM_001432.3,1,1,1,0,1,1,0,0,0
NM_207506.3,1,1,0,0,0,0,0,0,1
XM_011509571.1,1,0,0,0,0,0,0,0,0
NM_006849.4,1,0,0,0,0,1,0,0,0
XM_017024862.2,1,1,1,1,0,1,1,0,1
NR_136709.2,1,1,0,0,0,0,1,0,0
NM_001346270.2,1,1,1,1,0,0,1,1,0
XM_011533531.1,1,1,1,1,0,0,1,1,0
NM_001256879.2,1,1,0,1,0,1,1,1,1
NM_005732.4,1,1,1,1,0,1,1,1,0
NM_032092.2,1,0,0,0,0,0,0,0,0
NM_001184729.3,1,1,0,0,0,1,1,0,1
NM_017855.4,1,0,0,0,0,0,0,0,0
XM_030246273.1,0,1,0,0,0,0,0,0,0
NR_135772.1,1,0,0,0,0,0,0,0,0
NM_152704.4,1,0,0,0,0,0,0,0,0
NM_001349751.3,1,1,0,0,0,0,0,0,0
NM_014903.6,1,1,0,0,0,0,0,0,0
XR_002956305.1,1,0,0,0,0,0,0,0,0
NM_001164550.2,1,1,0,0,1,0,1,0,0
XM_017321904.2,0,1,0,0,0,0,0,0,0
XR_950811.2,1,1,1,1,0,1,1,0,1
NR_157078.3,1,1,1,1,0,1,1,1,0
XR_002959350.1,1,1,0,0,0,0,0,0,0
XM_006496696.5,0,1,0,0,0,0,0,0,0
NM_001350789.1,1,1,0,0,0,1,1,0,1
XM_017030041.1,1,1,0,0,0,0,0,0,0
NM_001360300.1,0,0,0,0,1,0,0,0,0
XM_017319447.3,0,0,0,0,1,0,0,0,0
NR_148458.2,1,1,1,1,0,1,1,1,0
XM_017029904.1,1,1,0,0,1,0,0,0,0
XR_928792.3,1,0,1,0,0,0,0,0,1
XM_006530237.4,1,0,0,0,0,0,0,0,0
XR_003948672.1,0,1,0,0,0,0,0,0,0
NM_006327.4,1,1,1,1,0,1,1,0,1
XM_017009607.1,1,1,0,0,0,0,1,1,1
NM_001166395.2,1,0,0,0,0,0,0,0,0
NM_001350804.2,1,1,0,1,0,0,1,1,1
XM_024452084.1,1,1,0,0,0,0,1,0,0
XM_017317231.1,0,1,0,0,0,0,0,0,0
NM_000720.4,1,1,0,0,0,0,0,1,0
XM_011512108.3,1,1,1,1,0,1,1,1,0
XR_003954972.2,1,0,0,0,0,0,0,0,0
NM_001318915.2,1,1,0,0,0,0,0,0,0
XM_024452053.1,1,1,0,0,0,0,0,0,1
XM_017026449.1,1,0,0,0,0,0,0,0,0
XM_017006224.1,1,0,0,0,0,0,0,0,0
NM_001040057.3,1,1,1,1,0,0,1,1,0
XM_017020123.2,1,1,1,0,0,0,1,0,1
NR_144334.2,1,1,1,1,0,1,1,1,0
NR_148217.2,1,1,1,1,0,1,1,1,1
XR_933935.2,1,1,1,1,0,1,1,0,0
NM_175266.4,0,0,0,0,1,0,0,0,0
XR_001740253.2,1,1,1,1,1,0,1,1,1
NM_145345.3,1,1,1,1,0,0,1,0,0
NM_016249.4,1,0,0,0,0,0,0,0,0
NM_001330513.2,1,0,1,1,0,1,1,0,0
XM_024451753.1,1,1,1,1,0,1,0,0,0
XM_017026243.2,0,0,0,1,0,1,0,0,0
XM_011546116.2,1,0,0,0,0,0,0,0,0
XM_006521227.4,1,0,0,0,0,0,0,0,0
XM_024448975.1,1,0,0,0,0,0,0,0,0
XM_011527573.3,1,0,1,0,0,0,1,0,0
NM_001358292.2,1,1,1,0,0,0,1,0,0
NM_024832.5,1,1,0,0,0,0,1,0,0
XM_011530302.2,1,0,0,0,0,0,0,0,0
NM_001320545.1,0,0,0,0,1,0,0,0,0
NM_001318334.2,1,0,0,0,0,0,0,0,0
NR_136225.2,1,1,1,0,0,1,1,0,0
NM_001386081.1,1,1,1,1,0,1,1,0,0
XM_011529686.1,1,1,1,1,0,1,1,1,0
XM_011543579.2,1,1,1,1,0,1,1,1,1
NM_001127322.1,1,1,1,1,1,0,1,0,1
XM_036158100.1,0,0,0,0,1,0,0,0,0
NM_001385353.1,1,1,1,1,0,1,1,1,1
NM_001305157.1,0,0,0,0,1,0,0,0,0
NM_021005.4,1,1,0,0,1,0,1,1,0
NM_001375587.2,1,0,0,0,0,0,0,0,0
NM_002354.3,1,0,0,1,0,1,1,0,1
XM_024451872.1,1,1,1,1,1,1,1,1,1
XM_006505502.1,0,1,0,0,0,0,0,0,0
XM_006539926.5,0,0,0,0,1,0,0,0,0
XM_011539439.2,1,0,0,0,0,0,0,0,0
XM_017025604.2,1,0,0,0,0,0,0,0,0
XR_002957806.1,1,1,1,1,0,1,1,0,0
NM_001386983.1,1,1,1,1,0,1,0,0,0
XR_001747906.1,1,1,1,1,0,1,1,1,0
XM_006524150.4,0,1,0,0,0,0,0,0,0
XM_017025782.1,1,1,1,1,0,0,1,1,0
NM_001005425.2,0,1,0,0,0,0,0,0,0
NR_159798.1,1,1,0,0,0,0,1,1,0
NM_004489.5,1,0,1,0,0,0,0,0,0
XM_005272263.5,1,1,1,1,0,1,1,1,1
NM_001109973.2,1,0,0,0,1,0,0,0,0
NM_001514.6,1,0,1,1,0,1,1,0,1
NM_001105556.3,1,1,0,1,0,0,0,0,0
NM_001323971.2,1,0,1,1,0,1,1,0,0
NM_028333.2,0,0,0,0,1,0,0,0,0
NM_153033.5,1,1,0,0,0,0,0,0,0
XR_943495.1,1,1,1,1,0,1,1,0,1
NR_138599.1,1,0,0,0,0,0,0,0,0
XR_001751409.2,1,1,1,1,0,1,1,0,1
XM_011525193.2,1,0,1,1,0,1,0,0,0
XM_017005403.2,1,1,1,1,0,1,0,1,0
NM_001355594.1,0,1,0,0,0,0,0,0,0
NR_045523.1,0,0,0,0,1,0,0,0,0
NM_001013257.2,1,1,0,0,0,0,1,0,0
XM_011249178.4,0,0,0,0,1,0,0,0,0
XM_011535156.2,1,0,0,0,0,0,0,0,0
